# The building kit — every part the composer may place.
# name  triangles  source
beam-timber-2x1x1-w03                  48  kit:beam timber 2x1x1u wear=0.30 seed=13950865601852005678
beam-timber-2x1x1-w08                  48  kit:beam timber 2x1x1u wear=0.80 seed=13950855706247351779
beam-dark-2x1x1-w03                    48  kit:beam dark 2x1x1u wear=0.30 seed=15319338045536144153
beam-dark-2x1x1-w08                    48  kit:beam dark 2x1x1u wear=0.80 seed=15319343543094285208
beam-timber-2x2x1-w03                  48  kit:beam timber 2x2x1u wear=0.30 seed=6399492691553628867
beam-timber-2x2x1-w08                  48  kit:beam timber 2x2x1u wear=0.80 seed=6399502587158282766
beam-dark-2x2x1-w03                    48  kit:beam dark 2x2x1u wear=0.30 seed=14096422497593845512
beam-dark-2x2x1-w08                    48  kit:beam dark 2x2x1u wear=0.80 seed=14096417000035704457
beam-timber-2x2x2-w03                  48  kit:beam timber 2x2x2u wear=0.30 seed=5565468177180884118
beam-timber-2x2x2-w08                  48  kit:beam timber 2x2x2u wear=0.80 seed=5565475873762281595
beam-dark-2x2x2-w03                    48  kit:beam dark 2x2x2u wear=0.30 seed=13895502101112848481
beam-dark-2x2x2-w08                    48  kit:beam dark 2x2x2u wear=0.80 seed=13895490006484938160
beam-timber-2x3x3-w03                  48  kit:beam timber 2x3x3u wear=0.30 seed=16482079442365562382
beam-timber-2x3x3-w08                  48  kit:beam timber 2x3x3u wear=0.80 seed=16482069546760908483
beam-dark-2x3x3-w03                    48  kit:beam dark 2x3x3u wear=0.30 seed=6944189549102075897
beam-dark-2x3x3-w08                    48  kit:beam dark 2x3x3u wear=0.80 seed=6944195046660216952
beam-timber-4x1x1-w03                  48  kit:beam timber 4x1x1u wear=0.30 seed=41141282561632640
beam-timber-4x1x1-w08                  48  kit:beam timber 4x1x1u wear=0.80 seed=41153377189542961
beam-dark-4x1x1-w03                    48  kit:beam dark 4x1x1u wear=0.30 seed=4795005613683620747
beam-dark-4x1x1-w08                    48  kit:beam dark 4x1x1u wear=0.80 seed=4794997917102223270
beam-timber-4x2x1-w03                  48  kit:beam timber 4x2x1u wear=0.30 seed=4274806057932625329
beam-timber-4x2x1-w08                  48  kit:beam timber 4x2x1u wear=0.80 seed=4274793963304715008
beam-dark-4x2x1-w03                    48  kit:beam dark 4x2x1u wear=0.30 seed=14143107201399416822
beam-dark-4x2x1-w08                    48  kit:beam dark 4x2x1u wear=0.80 seed=14143114897980814299
beam-timber-4x2x2-w03                  48  kit:beam timber 4x2x2u wear=0.30 seed=4475726454413622360
beam-timber-4x2x2-w08                  48  kit:beam timber 4x2x2u wear=0.80 seed=4475720956855481305
beam-dark-4x2x2-w03                    48  kit:beam dark 4x2x2u wear=0.30 seed=8428198774362383267
beam-dark-4x2x2-w08                    48  kit:beam dark 4x2x2u wear=0.80 seed=8428208669967037166
beam-timber-4x3x3-w03                  48  kit:beam timber 4x3x3u wear=0.30 seed=10745748827777023696
beam-timber-4x3x3-w08                  48  kit:beam timber 4x3x3u wear=0.80 seed=10745760922404934017
beam-dark-4x3x3-w03                    48  kit:beam dark 4x3x3u wear=0.30 seed=2263932510658475051
beam-dark-4x3x3-w08                    48  kit:beam dark 4x3x3u wear=0.80 seed=2263924814077077574
beam-timber-6x1x1-w03                  48  kit:beam timber 6x1x1u wear=0.30 seed=3987546620717683730
beam-timber-6x1x1-w08                  48  kit:beam timber 6x1x1u wear=0.80 seed=3987554317299081207
beam-dark-6x1x1-w03                    48  kit:beam dark 6x1x1u wear=0.30 seed=16694849700801411909
beam-dark-6x1x1-w08                    48  kit:beam dark 6x1x1u wear=0.80 seed=16694855198359552964
beam-timber-6x2x1-w03                  48  kit:beam timber 6x2x1u wear=0.30 seed=11813635897007252903
beam-timber-6x2x1-w08                  48  kit:beam timber 6x2x1u wear=0.80 seed=11813628200425855426
beam-dark-6x2x1-w03                    48  kit:beam dark 6x2x1u wear=0.30 seed=16531171404924769156
beam-dark-6x2x1-w08                    48  kit:beam dark 6x2x1u wear=0.80 seed=16531165907366628101
beam-timber-6x2x2-w03                  48  kit:beam timber 6x2x2u wear=0.30 seed=3504161462032455514
beam-timber-6x2x2-w08                  48  kit:beam timber 6x2x2u wear=0.80 seed=3504151566427801615
beam-dark-6x2x2-w03                    48  kit:beam dark 6x2x2u wear=0.30 seed=827314129713722045
beam-dark-6x2x2-w08                    48  kit:beam dark 6x2x2u wear=0.80 seed=827302035085811724
beam-timber-6x3x3-w03                  48  kit:beam timber 6x3x3u wear=0.30 seed=5617876263501387714
beam-timber-6x3x3-w08                  48  kit:beam timber 6x3x3u wear=0.80 seed=5617883960082785191
beam-dark-6x3x3-w03                    48  kit:beam dark 6x3x3u wear=0.30 seed=8578114029724711589
beam-dark-6x3x3-w08                    48  kit:beam dark 6x3x3u wear=0.80 seed=8578119527282852644
beam-timber-8x1x1-w03                  48  kit:beam timber 8x1x1u wear=0.30 seed=5623674252851681972
beam-timber-8x1x1-w08                  48  kit:beam timber 8x1x1u wear=0.80 seed=5623668755293540917
beam-dark-8x1x1-w03                    48  kit:beam dark 8x1x1u wear=0.30 seed=219420182223969463
beam-dark-8x1x1-w08                    48  kit:beam dark 8x1x1u wear=0.80 seed=219412485642571986
beam-timber-8x2x1-w03                  48  kit:beam timber 8x2x1u wear=0.30 seed=1251491397825346293
beam-timber-8x2x1-w08                  48  kit:beam timber 8x2x1u wear=0.80 seed=1251496895383487348
beam-dark-8x2x1-w03                    48  kit:beam dark 8x2x1u wear=0.30 seed=16949095078710379810
beam-dark-8x2x1-w08                    48  kit:beam dark 8x2x1u wear=0.80 seed=16949102775291777287
beam-timber-8x2x2-w03                  48  kit:beam timber 8x2x2u wear=0.30 seed=3232067938396769276
beam-timber-8x2x2-w08                  48  kit:beam timber 8x2x2u wear=0.80 seed=3232080033024679597
beam-dark-8x2x2-w03                    48  kit:beam dark 8x2x2u wear=0.30 seed=5346572261714343183
beam-dark-8x2x2-w08                    48  kit:beam dark 8x2x2u wear=0.80 seed=5346582157318997082
beam-timber-8x3x3-w03                  48  kit:beam timber 8x3x3u wear=0.30 seed=3095387936470564948
